InvoiceIdSequential,InvoiceDate,Type,UnitPrice,Quantity,TaxAmount,Amount,service_product,staff_name,day_of_month,month,year,time_start,time_end,monthi,yeari
15770,24/09/2021,Service,30,1,0,30,Early Pregnancy Scan,Early Life,25,Sep,2021,12:40,13:20,9,2021
12196,19/03/2020,Service,50,1,10,60,Basic Gender Scan,Early Life,20,Mar,2020,09:30,10:15,3,2020
11236,23/11/2019,Service,50,1,10,60,3D Gender Package,Early Life,23,Nov,2019,16:45,17:15,11,2019
18801,17/08/2022,Service,50,1,0,50,Pelvic Scan for Women,Consultant Obstetrician & Gynaecologist with Mr. Khan,13,Sep,2022,20:30,21:30,8,2022
19128,10/09/2022,Service,-50,1,0,-50,Pelvic Scan for Women,Consultant Obstetrician & Gynaecologist with Mr. Khan,13,Sep,2022,20:30,21:30,9,2022
9796,23/08/2019,Service,60,1,0,60,3D Gender Package,Early Life,26,Aug,2019,17:30,18:00,8,2019
12217,22/03/2020,Service,60,1,0,60,Basic Gender Scan,Early Life,2,Apr,2020,11:00,11:45,3,2020
15788,26/09/2021,Service,200,1,0,200,Pelvic Scan for Women,Consultant Obstetrician & Gynaecologist with Mr. Khan,28,Sep,2021,20:30,21:30,9,2021
15484,14/08/2021,Service,200,1,0,200,Early Pregnancy Scan & Consultation,Consultant Obstetrician & Gynaecologist with Mr. Khan,17,Aug,2021,20:30,21:30,8,2021
13023,12/08/2020,Service,200,1,0,200,Early Pregnancy Scan & Consultation,Consultant Obstetrician & Gynaecologist with Mr. Khan,1,Sep,2020,20:15,20:55,8,2020
15272,13/07/2021,Service,200,1,0,200,Pelvic Scan for Women,Consultant Obstetrician & Gynaecologist with Mr. Khan,30,Jul,2021,20:30,21:30,7,2021
13390,02/10/2020,Service,200,1,0,200,Pelvic Scan for Women,Consultant with Mr. Khan,2,Oct,2020,19:30,20:10,10,2020
14488,30/03/2021,Service,200,1,0,200,Pelvic Scan for Women,Consultant Obstetrician & Gynaecologist with Mr. Khan,30,Mar,2021,20:30,21:30,3,2021
13168,04/09/2020,Service,200,1,0,200,Early Pregnancy Scan & Consultation,Consultant Obstetrician & Gynaecologist with Mr. Khan,15,Sep,2020,19:30,20:10,9,2020
14457,25/03/2021,Service,200,1,0,200,Early Pregnancy Scan & Consultation,Consultant Obstetrician & Gynaecologist with Mr. Khan,26,Mar,2021,20:30,21:30,3,2021
13582,28/10/2020,Service,200,1,0,200,Early Pregnancy Scan & Consultation,Consultant Obstetrician & Gynaecologist with Mr. Khan,15,Nov,2020,11:40,12:20,10,2020
13568,26/10/2020,Service,200,1,0,200,Early Pregnancy Scan & Consultation,Consultant Obstetrician & Gynaecologist with Mr. Khan,1,Nov,2020,09:40,10:20,10,2020
14762,06/05/2021,Service,200,1,0,200,Early Pregnancy Scan & Consultation,Consultant Obstetrician & Gynaecologist with Mr. Khan,28,May,2021,19:20,20:20,5,2021
14421,17/03/2021,Service,200,1,0,200,Pelvic Scan for Women,Consultant Obstetrician & Gynaecologist with Mr. Khan,23,Mar,2021,20:30,21:30,3,2021
13123,28/08/2020,Service,200,1,0,200,Early Pregnancy Scan & Consultation,Consultant Obstetrician & Gynaecologist with Mr. Khan,8,Sep,2020,19:30,20:10,8,2020
